# mu [GeV]       	| T [GeV]        	| cond           	| susc           
 2.0500000000e-01	 1.8500000000e-01	 3.4495223487e-01	 7.7327049818e-03
 2.0500000000e-01	 1.9000000000e-01	 3.4624165434e-01	 6.4625988024e-03
 2.0500000000e-01	 1.9500000000e-01	 3.4748030005e-01	 5.1924926760e-03
 2.0500000000e-01	 2.0000000000e-01	 3.4858603950e-01	 4.0718108123e-03


 2.1000000000e-01	 1.0000000000e-01	 1.5242645793e-02	 5.8649018580e-03
 2.1000000000e-01	 1.0500000000e-01	 2.8018978263e-02	 1.7930910032e-02
 2.1000000000e-01	 1.0600000000e-01	 3.2166670174e-02	 2.3198114840e-02
 2.1000000000e-01	 1.0700000000e-01	 3.7839455105e-02	 3.1827365291e-02
 2.1000000000e-01	 1.0800000000e-01	 4.5073113556e-02	 4.5873244866e-02
 2.1000000000e-01	 1.0900000000e-01	 5.6209489467e-02	 7.9306920795e-02
 2.1000000000e-01	 1.0950000000e-01	 6.4132888225e-02	 1.1374921052e-01
 2.1000000000e-01	 1.1000000000e-01	 7.5970439972e-02	 1.9626875275e-01
 2.1000000000e-01	 1.1010000000e-01	 7.7478049338e-02	 2.1180887479e-01
 2.1000000000e-01	 1.1020000000e-01	 8.3084457374e-02	 2.7546360543e-01
 2.1000000000e-01	 1.1030000000e-01	 8.5069309498e-02	 3.0538581156e-01
 2.1000000000e-01	 1.1040000000e-01	 9.3014308700e-02	 4.4726413716e-01
 2.1000000000e-01	 1.1050000000e-01	 1.0007709493e-01	 6.4349553388e-01
 2.1000000000e-01	 1.1055000000e-01	 1.0098329710e-01	 6.8357858902e-01
 2.1000000000e-01	 1.1060000000e-01	 1.1004008388e-01	 1.0853430420e+00
 2.1000000000e-01	 1.1065000000e-01	 1.2519526058e-01	 2.0130061439e+00
 2.1000000000e-01	 1.1070000000e-01	 1.3846266009e-01	 2.1406518096e+00
 2.1000000000e-01	 1.1075000000e-01	 1.4068105114e-01	 2.1104307550e+00
 2.1000000000e-01	 1.1080000000e-01	 1.5053934147e-01	 1.5796011059e+00
 2.1000000000e-01	 1.1090000000e-01	 1.6762895231e-01	 8.6389630303e-01
 2.1000000000e-01	 1.1100000000e-01	 1.7191595438e-01	 7.6165275983e-01
 2.1000000000e-01	 1.1110000000e-01	 1.8126157722e-01	 5.7337820444e-01
 2.1000000000e-01	 1.1120000000e-01	 1.8459444955e-01	 5.2623485350e-01
 2.1000000000e-01	 1.1130000000e-01	 1.9036141241e-01	 4.4980434942e-01
 2.1000000000e-01	 1.1140000000e-01	 1.9380818261e-01	 4.1394252935e-01
 2.1000000000e-01	 1.1150000000e-01	 1.9753154015e-01	 3.7875311847e-01
 2.1000000000e-01	 1.1160000000e-01	 2.0060602033e-01	 3.5178204124e-01
 2.1000000000e-01	 1.1170000000e-01	 2.0316036182e-01	 3.3261838117e-01
 2.1000000000e-01	 1.1180000000e-01	 2.0646263775e-01	 3.0900934958e-01
 2.1000000000e-01	 1.1190000000e-01	 2.0834731464e-01	 2.9742897018e-01
 2.1000000000e-01	 1.1200000000e-01	 2.1132299185e-01	 2.7908714351e-01
 2.1000000000e-01	 1.1300000000e-01	 2.2917878316e-01	 1.9753885888e-01
 2.1000000000e-01	 1.1400000000e-01	 2.4119401763e-01	 1.5857648560e-01
 2.1000000000e-01	 1.1500000000e-01	 2.5050645202e-01	 1.3541572680e-01
 2.1000000000e-01	 1.1600000000e-01	 2.5826700884e-01	 1.1875492290e-01
 2.1000000000e-01	 1.1700000000e-01	 2.6481250254e-01	 1.0597914950e-01
 2.1000000000e-01	 1.1800000000e-01	 2.7015685907e-01	 9.6976338447e-02
 2.1000000000e-01	 1.1900000000e-01	 2.7524165449e-01	 8.8795360730e-02
 2.1000000000e-01	 1.2000000000e-01	 2.7944799796e-01	 8.2482186137e-02
 2.1000000000e-01	 1.2500000000e-01	 2.9590712996e-01	 6.0442109254e-02
 2.1000000000e-01	 1.3000000000e-01	 3.0694012868e-01	 4.7479555557e-02
 2.1000000000e-01	 1.3500000000e-01	 3.1482601890e-01	 3.8738236881e-02
 2.1000000000e-01	 1.4000000000e-01	 3.2109406126e-01	 3.1976789554e-02
 2.1000000000e-01	 1.4500000000e-01	 3.2600264788e-01	 2.6971077180e-02
 2.1000000000e-01	 1.5000000000e-01	 3.2995995093e-01	 2.2861910328e-02
 2.1000000000e-01	 1.5500000000e-01	 3.3335655727e-01	 1.9425152499e-02
 2.1000000000e-01	 1.6000000000e-01	 3.3604517729e-01	 1.6735516037e-02
 2.1000000000e-01	 1.6500000000e-01	 3.3845466874e-01	 1.4270015863e-02
 2.1000000000e-01	 1.7000000000e-01	 3.4056190644e-01	 1.2140720306e-02
 2.1000000000e-01	 1.7500000000e-01	 3.4251326517e-01	 1.0160849011e-02
 2.1000000000e-01	 1.8000000000e-01	 3.4409040255e-01	 8.5918943594e-03
 2.1000000000e-01	 1.8500000000e-01	 3.4557793621e-01	 7.0976518390e-03
 2.1000000000e-01	 1.9000000000e-01	 3.4680031806e-01	 5.8649018580e-03
 2.1000000000e-01	 1.9500000000e-01	 3.4798386994e-01	 4.6695078098e-03
 2.1000000000e-01	 2.0000000000e-01	 3.4904102110e-01	 3.6235380774e-03


 2.1200000000e-01	 1.0000000000e-01	 1.5349580699e-02	 6.1637503301e-03
 2.1200000000e-01	 1.0500000000e-01	 2.8882589441e-02	 1.9574576762e-02
 2.1200000000e-01	 1.0600000000e-01	 3.3425137474e-02	 2.6037175618e-02
 2.1200000000e-01	 1.0700000000e-01	 3.9789289098e-02	 3.6982501928e-02
 2.1200000000e-01	 1.0800000000e-01	 4.8292901203e-02	 5.7677760607e-02
 2.1200000000e-01	 1.0900000000e-01	 6.2760929649e-02	 1.1696183190e-01
 2.1200000000e-01	 1.0910000000e-01	 6.3348919157e-02	 1.2088421851e-01
 2.1200000000e-01	 1.0920000000e-01	 6.6691600625e-02	 1.4079499983e-01
 2.1200000000e-01	 1.0930000000e-01	 6.8850018673e-02	 1.5723166735e-01
 2.1200000000e-01	 1.0940000000e-01	 7.0872582633e-02	 1.7426603191e-01
 2.1200000000e-01	 1.0950000000e-01	 7.5286137895e-02	 2.1707607960e-01
 2.1200000000e-01	 1.0960000000e-01	 7.6563257814e-02	 2.3332596681e-01
 2.1200000000e-01	 1.0970000000e-01	 8.3105295449e-02	 3.2619313835e-01
 2.1200000000e-01	 1.0980000000e-01	 8.7715440167e-02	 4.2391659806e-01
 2.1200000000e-01	 1.0985000000e-01	 8.8765374236e-02	 4.5387616023e-01
 2.1200000000e-01	 1.0990000000e-01	 9.4759319656e-02	 6.4801561748e-01
 2.1200000000e-01	 1.0995000000e-01	 1.0415373409e-01	 1.2184426930e+00
 2.1200000000e-01	 1.1000000000e-01	 1.1700630342e-01	 3.6183829330e+00
 2.1200000000e-01	 1.1005000000e-01	 1.3293746973e-01	 8.8886509528e+00
 2.1200000000e-01	 1.1010000000e-01	 1.5250909869e-01	 2.5241117920e+00
 2.1200000000e-01	 1.1015000000e-01	 1.6527892562e-01	 1.2259139055e+00
 2.1200000000e-01	 1.1020000000e-01	 1.7233891649e-01	 9.0237304753e-01
 2.1200000000e-01	 1.1030000000e-01	 1.7721385725e-01	 7.6000909305e-01
 2.1200000000e-01	 1.1040000000e-01	 1.8560977208e-01	 5.7180924979e-01
 2.1200000000e-01	 1.1050000000e-01	 1.9023811199e-01	 4.9814309440e-01
 2.1200000000e-01	 1.1060000000e-01	 1.9406098405e-01	 4.4730149326e-01
 2.1200000000e-01	 1.1070000000e-01	 1.9858325308e-01	 3.9623575566e-01
 2.1200000000e-01	 1.1080000000e-01	 2.0061460969e-01	 3.7755772442e-01
 2.1200000000e-01	 1.1090000000e-01	 2.0472215018e-01	 3.4035108610e-01
 2.1200000000e-01	 1.1100000000e-01	 2.0631504319e-01	 3.2865863853e-01
 2.1200000000e-01	 1.1125000000e-01	 2.1279156794e-01	 2.8424228009e-01
 2.1200000000e-01	 1.1150000000e-01	 2.1847629665e-01	 2.5148101324e-01
 2.1200000000e-01	 1.1175000000e-01	 2.2315271661e-01	 2.2817083018e-01
 2.1200000000e-01	 1.1200000000e-01	 2.2724190944e-01	 2.1057612471e-01
 2.1200000000e-01	 1.1300000000e-01	 2.4031348186e-01	 1.6481494806e-01
 2.1200000000e-01	 1.1400000000e-01	 2.4989630299e-01	 1.3892719671e-01
 2.1200000000e-01	 1.1500000000e-01	 2.5768150973e-01	 1.2136984728e-01
 2.1200000000e-01	 1.1600000000e-01	 2.6434364584e-01	 1.0822051328e-01
 2.1200000000e-01	 1.1700000000e-01	 2.7007142296e-01	 9.7984952087e-02
 2.1200000000e-01	 1.1800000000e-01	 2.7481056045e-01	 9.0140178988e-02
 2.1200000000e-01	 1.1900000000e-01	 2.7937242182e-01	 8.3079883135e-02
 2.1200000000e-01	 1.2000000000e-01	 2.8318024980e-01	 7.7551185894e-02
 2.1200000000e-01	 1.2500000000e-01	 2.9832236458e-01	 5.7677760607e-02
 2.1200000000e-01	 1.3000000000e-01	 3.0866094714e-01	 4.5611752433e-02
 2.1200000000e-01	 1.3500000000e-01	 3.1612814451e-01	 3.7393418677e-02
 2.1200000000e-01	 1.4000000000e-01	 3.2211014616e-01	 3.1080244084e-02
 2.1200000000e-01	 1.4500000000e-01	 3.2682031364e-01	 2.6149243788e-02
 2.1200000000e-01	 1.5000000000e-01	 3.3063266501e-01	 2.2226857238e-02
 2.1200000000e-01	 1.5500000000e-01	 3.3391913449e-01	 1.8864811594e-02
 2.1200000000e-01	 1.6000000000e-01	 3.3652455468e-01	 1.6212531171e-02
 2.1200000000e-01	 1.6500000000e-01	 3.3886660192e-01	 1.3859099167e-02
 2.1200000000e-01	 1.7000000000e-01	 3.4091930485e-01	 1.1804515794e-02
 2.1200000000e-01	 1.7500000000e-01	 3.4282598878e-01	 9.8993565780e-03
 2.1200000000e-01	 1.8000000000e-01	 3.4436658329e-01	 8.3304019794e-03
 2.1200000000e-01	 1.8500000000e-01	 3.4582392715e-01	 6.8735154982e-03
 2.1200000000e-01	 1.9000000000e-01	 3.4702049012e-01	 5.6781215031e-03
 2.1200000000e-01	 1.9500000000e-01	 3.4818269568e-01	 4.5200835471e-03
 2.1200000000e-01	 2.0000000000e-01	 3.4922099092e-01	 3.4367577225e-03
